Employee ID,Tipe of event,Time
1,CLOCK_IN,4/25/2023 14:51
1,CLOCK_OUT,4/25/2023 14:51
1,CLOCK_IN,4/25/2023 15:39
1,CLOCK_OUT,4/25/2023 15:39
1,CLOCK_IN,4/25/2023 16:26
1,CLOCK_OUT,2023-04-25 17:25:13
1,CLOCK_IN,2023-04-25 17:25:16
1,CLOCK_OUT,2023-04-25 17:25:19
1,CLOCK_IN,2023-04-25 17:25:21
1,CLOCK_OUT,2023-04-25 17:25:23
1,CLOCK_IN,2023-04-25 17:25:26
1,CLOCK_OUT,2023-04-25 17:25:29
1,CLOCK_OUT,2023-04-25 17:26:40
1,CLOCK_IN,2023-04-25 17:26:56
1,CLOCK_OUT,2023-04-25 17:27:02
1,CLOCK_IN,2023-04-25 17:31:21
1,CLOCK_OUT,2023-04-25 17:31:47
1,CLOCK_IN,2023-04-25 20:01:59
1,CLOCK_OUT,2023-04-25 20:02:40
2,CLOCK_IN,2023-04-25 20:07:28
2,CLOCK_OUT,2023-04-25 20:08:12
1,CLOCK_IN,2023-04-25 20:11:44
3,CLOCK_IN,2023-04-25 20:12:41
3,CLOCK_OUT,2023-04-25 20:12:47
1,CLOCK_OUT,2023-04-25 20:13:13
1,CLOCK_IN,2023-04-25 20:56:35
1,CLOCK_OUT,2023-04-25 22:58:53
1,CLOCK_IN,2023-04-25 22:58:58
1,CLOCK_OUT,2023-04-25 23:17:18
1,CLOCK_IN,2023-04-26 12:13:30
5,CLOCK_IN,2023-04-26 17:42:36
1,CLOCK_OUT,2023-04-26 20:44:06
2,CLOCK_IN,2023-04-27 14:43:39
2,CLOCK_OUT,2023-04-27 14:54:03
